"siteID","plotID","date","subplotID","nestedSubplotID","tagID","stemDiameter","measurementHeight","basalDiameter","basalDiameterHeight","growthForm","stemStatus","VD1height","VD2height","maxCanopyDiameter","ninetyCanopyDiameter","canopyPosition","shrubShape","maxBaseCanopyDiameter","ninetyBaseCanopyDiameter","measuredBy","recordedBy","remarks"
"OSBS","OSBS_002",20150911,32,NA,"01005",25.6,130,NA,NA,"sbt",1,14.9,1.3,5.1,4.6,3,"",NA,NA,"tantony@field-ops.org","dbyerley@field-ops.org",""
"OSBS","OSBS_002",20150911,32,NA,"01006",14,130,NA,NA,"sbt",1,13.6,1.5,2.7,2.2,3,"",NA,NA,"tantony@field-ops.org","dbyerley@field-ops.org",""
"OSBS","OSBS_002",20150911,32,NA,"01007",12.4,130,NA,NA,"sbt",1,11.7,1.3,3.9,2.6,3,"",NA,NA,"tantony@field-ops.org","dbyerley@field-ops.org",""
"OSBS","OSBS_002",20150911,31,NA,"01010",14.9,130,NA,NA,"sbt",1,9.1,1,4.4,3.8,3,"",NA,NA,"tantony@field-ops.org","dbyerley@field-ops.org",""
"OSBS","OSBS_002",20150911,31,NA,"01012",18.8,130,NA,NA,"sbt",5,13.8,1.4,5.1,3.6,NA,"",NA,NA,"tantony@field-ops.org","dbyerley@field-ops.org",""
"OSBS","OSBS_002",20150911,31,NA,"01013",10,130,NA,NA,"sbt",1,11.1,1.1,2.1,2.1,NA,"",NA,NA,"tantony@field-ops.org","dbyerley@field-ops.org",""
"OSBS","OSBS_002",20150911,31,NA,"01015",11.1,130,NA,NA,"sbt",1,11.6,1.4,3,2.5,NA,"",NA,NA,"tantony@field-ops.org","dbyerley@field-ops.org",""
"OSBS","OSBS_002",20150911,31,NA,"01017",12.2,130,NA,NA,"sbt",5,7.7,1.3,2.9,1.9,3,"",NA,NA,"tantony@field-ops.org","dbyerley@field-ops.org",""
"OSBS","OSBS_002",20150911,40,NA,"01020",25.1,130,NA,NA,"sbt",1,11.9,1.4,11.2,9.2,3,"",NA,NA,"tantony@field-ops.org","dbyerley@field-ops.org",""
"OSBS","OSBS_002",20150911,40,NA,"01021",19.6,130,NA,NA,"sbt",1,9.7,1.8,2.4,1.4,3,"",NA,NA,"tantony@field-ops.org","dbyerley@field-ops.org",""
"OSBS","OSBS_002",20150911,40,NA,"01022",15.2,130,NA,NA,"sbt",6,11.3,1.6,2.5,2.1,3,"",NA,NA,"tantony@field-ops.org","dbyerley@field-ops.org",""
