siteID,date,plotID,subplotID,nestedSubplotID,tagID,stemDiameter,measurementHeight,canopyPosition,maxCanopyDiameter,ninetyCanopyDiameter,VD1height,VD2height,stemStatus,shrubShape,maxBaseCanopyDiameter,ninetyBaseCanopyDiameter,measuredBy,recordedBy,remarks
UKFS,20150831,UKFS_031,39,,2201,14.3,130,3,,,,,1,,,,SROBERTS@FIELD-OPS.ORG,AGUTTING@FIELD-OPS.ORG,
UKFS,20150831,UKFS_031,39,,2202,31.1,130,2,,,,,1,,,,SROBERTS@FIELD-OPS.ORG,AGUTTING@FIELD-OPS.ORG,
UKFS,20150831,UKFS_031,39,,2203,11.8,130,4,,,,,2,,,,SROBERTS@FIELD-OPS.ORG,AGUTTING@FIELD-OPS.ORG,
UKFS,20150831,UKFS_031,39,,2204,22.2,130,3,,,,,1,,,,SROBERTS@FIELD-OPS.ORG,AGUTTING@FIELD-OPS.ORG,
UKFS,20150831,UKFS_031,39,,2205,19.2,130,3,,,,,1,,,,SROBERTS@FIELD-OPS.ORG,AGUTTING@FIELD-OPS.ORG,
UKFS,20150831,UKFS_031,39,,2206,34.6,130,2,,,,,1,,,,SROBERTS@FIELD-OPS.ORG,AGUTTING@FIELD-OPS.ORG,
UKFS,20150831,UKFS_031,39,,2207,7.9,130,4,,,,,7,,,,SROBERTS@FIELD-OPS.ORG,AGUTTING@FIELD-OPS.ORG,
UKFS,20150831,UKFS_031,39,,2208,12.5,130,4,,,,,2,,,,SROBERTS@FIELD-OPS.ORG,AGUTTING@FIELD-OPS.ORG,
UKFS,20150831,UKFS_031,39,,2301,9.4,130,4,,,,,1,,,,SROBERTS@FIELD-OPS.ORG,AGUTTING@FIELD-OPS.ORG,
UKFS,20150831,UKFS_031,39,,2303,35.9,130,2,,,,,1,,,,SROBERTS@FIELD-OPS.ORG,AGUTTING@FIELD-OPS.ORG,
UKFS,20150831,UKFS_031,41,,2340,19.3,130,3,,,,,1,,,,AGUTTING@FIELD-OPS.ORG,SROBERTS@FIELD-OPS.ORG,
UKFS,20150831,UKFS_031,41,,2341,5.3,130,4,,,,,1,,,,AGUTTING@FIELD-OPS.ORG,SROBERTS@FIELD-OPS.ORG,
UKFS,20150831,UKFS_031,41,,2342,6.3,130,3,,,,,1,,,,AGUTTING@FIELD-OPS.ORG,SROBERTS@FIELD-OPS.ORG,
UKFS,20150831,UKFS_031,41,,2343,13,130,4,,,,,2,,,,AGUTTING@FIELD-OPS.ORG,SROBERTS@FIELD-OPS.ORG,
UKFS,20150831,UKFS_031,41,,2344,,,3,,,,,1,,,,AGUTTING@FIELD-OPS.ORG,SROBERTS@FIELD-OPS.ORG,"NOT MEASURED, COVERED IN POISON IVY"
UKFS,20150831,UKFS_031,41,,2345,20.4,130,3,,,,,1,,,,AGUTTING@FIELD-OPS.ORG,SROBERTS@FIELD-OPS.ORG,
UKFS,20150831,UKFS_031,41,,2346,30.3,130,4,23,,6,,2,,,,AGUTTING@FIELD-OPS.ORG,SROBERTS@FIELD-OPS.ORG,
UKFS,20150831,UKFS_031,41,,2347,17.3,130,4,,,,,1,,,,AGUTTING@FIELD-OPS.ORG,SROBERTS@FIELD-OPS.ORG,
UKFS,20150831,UKFS_031,41,,2348,10.6,130,4,,,,,1,,,,AGUTTING@FIELD-OPS.ORG,SROBERTS@FIELD-OPS.ORG,
UKFS,20150831,UKFS_031,41,,2349,21.7,130,4,,,,,1,,,,AGUTTING@FIELD-OPS.ORG,SROBERTS@FIELD-OPS.ORG,
UKFS,20150831,UKFS_031,41,,2350,16.2,130,4,,,,,1,,,,AGUTTING@FIELD-OPS.ORG,SROBERTS@FIELD-OPS.ORG,
