siteID,date,plotID,subplotID,nestedSubplotID,tagID,stemDiameter,measurementHeight,canopyPosition,maxCanopyDiameter,ninetyCanopyDiameter,VD1height,VD2height,stemStatus,shrubShape,maxBaseCanopyDiameter,ninetyBaseCanopyDiameter,measuredBy,recordedBy,remarks
MOAB,20150420,MOAB_044,32,,00001,,,1,0.5,0.2,0.4,,1,hsp,,,mgaetani@neoninc.org,afoster@field-ops.org,
MOAB,20150422,MOAB_047,32,,00055,,,1,0.5,0.2,0.2,,7,ohs,,,mgaetani@neoninc.org,afoster@field-ops.org,
MOAB,20150420,MOAB_048,32,,00010,,,1,0.3,0.3,0.3,,1,hsp,,,afoster@field-ops.org,mgaetani@neoninc.org,
MOAB,20150422,MOAB_050,30,,00060,,,1,0.6,0.5,0.4,,7,ohs,,,mgaetani@neoninc.org,afoster@field-ops.org,
MOAB,20150422,MOAB_050,30,,00061,,,1,0.9,0.5,0.5,,7,ohs,,,mgaetani@neoninc.org,afoster@field-ops.org,
MOAB,20150422,MOAB_050,40,,00062,,,3,0.2,0.2,0.3,,7,hsp,,,mgaetani@neoninc.org,afoster@field-ops.org,
MOAB,20150422,MOAB_050,40,,00063,,,3,0.1,0.1,0.4,,7,cyl,,,mgaetani@neoninc.org,afoster@field-ops.org,
MOAB,20150422,MOAB_050,41,,00064,,,3,0.3,0.1,0.4,,7,ohs,,,mgaetani@neoninc.org,afoster@field-ops.org,
MOAB,20150424,MOAB_051,31,,00094,,,1,0.4,0.2,0.5,,7,icn,5,3,mgaetani@neoninc.org,bsherman@field-ops.org,
MOAB,20150424,MOAB_051,41,,00095,,,1,0.8,0.6,0.8,,7,hsp,,,mgaetani@neoninc.org,bsherman@field-ops.org,
MOAB,20150424,MOAB_051,41,,00096,,,1,0.9,0.6,0.8,,7,ohs,,,mgaetani@neoninc.org,bsherman@field-ops.org,
MOAB,20150424,MOAB_051,41,,00097,,,1,0.6,0.4,0.5,,7,ohs,,,mgaetani@neoninc.org,bsherman@field-ops.org,
