"siteID","plotID","boutNumber","measuredBy","recordedBy","date","subplot","taxonID","taxonIDRemarks","identificationQualifier","morphospeciesID","morphoSpeciesRemarks","percentCover","remarks","photoID"
"UKFS","UKFS_044","Characterization","nstanton@neoninc.org","kculatta@field-ops.org",20150618,"41.4.10","BOVI","","cf. species","","",NA,"",NA
"UKFS","UKFS_044","Characterization","nstanton@neoninc.org","kculatta@field-ops.org",20150618,"32.2.10","BOVI","","cf. species","","",NA,"",NA
"UKFS","UKFS_044","Characterization","nstanton@neoninc.org","kculatta@field-ops.org",20150618,"31.1.10","CABL","","cf. species","","",NA,"",NA
"UKFS","UKFS_044","Characterization","nstanton@neoninc.org","kculatta@field-ops.org",20150618,"32.1.10","CABL","","cf. species","","",NA,"",NA
"UKFS","UKFS_044","Characterization","nstanton@neoninc.org","kculatta@field-ops.org",20150618,"31.1.1","CADA","","cf. species","","",17,"",NA
"UKFS","UKFS_044","Characterization","nstanton@neoninc.org","kculatta@field-ops.org",20150618,"31.1.10","CIAL2","","","","underside of leaf super tomentose; looks white",NA,"",NA
"UKFS","UKFS_044","Characterization","nstanton@neoninc.org","kculatta@field-ops.org",20150618,"40.3.10","LIMI9","","","","Liliaceae",NA,"",NA
"UKFS","UKFS_044","Characterization","nstanton@neoninc.org","kculatta@field-ops.org",20150618,"40.100","LIMI9","","","","",NA,"",NA
"UKFS","UKFS_044","Characterization","nstanton@neoninc.org","kculatta@field-ops.org",20150618,"40.100","LIMI9","","","","possibly liliaceae",NA,"",NA
"UKFS","UKFS_044","Characterization","nstanton@neoninc.org","sgrischkowski@field-ops.org",20150618,"31.4.10","PHDI5","","","","",NA,"",NA
"UKFS","UKFS_044","Characterization","nstanton@neoninc.org","kculatta@field-ops.org",20150618,"31.1.10","PHDI5","","","","",NA,"",NA
"UKFS","UKFS_044","Characterization","nstanton@neoninc.org","kculatta@field-ops.org",20150618,"32.2.1","PHDI5","","","","",0.5,"",NA
"UKFS","UKFS_044","Characterization","nstanton@neoninc.org","kculatta@field-ops.org",20150618,"40.100","PIPU2","","","","opposite leaves",NA,"",NA
"UKFS","UKFS_044","Characterization","nstanton@neoninc.org","kculatta@field-ops.org",20150618,"31.100","SYLA6","","cf. species","","",NA,"",NA
